date,from,to,movers,fr_pat,to_pat,fr_users,to_users
1,1,2,21292,1,2,575470,2540707
1,1,3,1726,1,3,575470,1825332
1,2,1,25407,2,1,2540707,575470
1,2,3,25407,2,3,2540707,1825332
1,3,1,1825,3,1,1825332,575470
1,3,2,16427,3,2,1825332,2540707
20,1,2,8516.8,1,2,345282,1524424.2
20,1,3,690.4,1,3,345282,1095199.2
20,2,1,10162.8,2,1,1524424.2,345282
20,2,3,10162.8,2,3,1524424.2,1095199.2
20,3,1,730,3,1,1095199.2,345282
20,3,2,6570.8,3,2,1095199.2,1524424.2
30,1,2,2129.2,1,2,57547,254070.7
30,1,3,172.6,1,3,57547,182533.2
30,2,1,2540.7,2,1,254070.7,57547
30,2,3,2540.7,2,3,254070.7,182533.2
30,3,1,182.5,3,1,182533.2,57547
30,3,2,1642.7,3,2,182533.2,254070.7
