dates,cases,deaths,icu,recovered,hospitalized
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,2,0,0,0,0
2020-02-28,8,0,0,0,0
2020-02-29,10,0,0,0,0
2020-03-01,15,0,0,0,0
2020-03-02,15,0,0,0,0
2020-03-03,15,0,0,0,0
2020-03-04,19,1,0,0,0
2020-03-05,19,1,0,0,0
2020-03-06,30,1,1,0,0
2020-03-07,30,1,0,0,0
2020-03-08,37,1,0,0,0
2020-03-09,37,1,1,0,0
2020-03-10,50,1,1,0,0
2020-03-11,65,1,1,0,0
2020-03-12,76,1,2,0,0
2020-03-13,94,1,2,0,0
2020-03-14,130,4,0,0,0
2020-03-15,409,5,0,0,0
2020-03-16,409,5,4,2,0
2020-03-17,541,13,27,12,0
2020-03-18,726,22,40,16,0
2020-03-19,921,24,52,19,0
2020-03-20,1105,33,71,20,0
2020-03-21,1363,50,84,25,476
2020-03-22,1604,69,113,30,590
2020-03-23,1901,94,138,36,702
2020-03-24,2167,115,161,37,917
2020-03-25,2616,143,198,44,1071
2020-03-26,3200,167,230,57,1278
2020-03-27,3532,198,252,73,1422
2020-03-28,4034,234,282,92,1694
2020-03-29,4784,267,309,161,1874
2020-03-30,5110,310,336,185,2042
2020-03-31,5508,339,356,200,2189
2020-04-01,5922,395,365,240,2189
2020-04-02,6308,443,379,432,2189
2020-04-03,6624,511,386,592,2064
2020-04-04,6901,571,386,695,1977
2020-04-05,7180,613,381,812,1901
2020-04-06,7330,637,384,930,1909
2020-04-07,7439,672,384,1103,1887
2020-04-08,7655,724,371,1344,1714
2020-04-09,7964,767,541,1772,3815
2020-04-10,8331,796,561,2085,3987
2020-04-11,8578,818,565,2289,4132
2020-04-12,8841,838,567,2624,4149
2020-04-13,9060,876,576,2803,4269
2020-04-14,9213,907,581,3069,4397
2020-04-15,9424,945,588,3360,4465
2020-04-16,9615,972,625,3702,4524
2020-04-17,9869,999,632,4024,4605
